mes_carga,sexo,kilos_recibidos_percapita,tipoConstruccion,densidad_pollos_m2,ganancia_predicha
10,HEMBRA,3.089969615997493,Transversal,13.0,65.8432651240117
10,HEMBRA,3.089969615997493,Transversal,13.0,65.8432651240117
10,HEMBRA,3.089969615997493,Transversal,13.0,65.8432651240117
10,HEMBRA,3.089969615997493,Transversal,15.0,62.816138025556214
10,HEMBRA,3.089969615997493,Transversal,15.0,62.816138025556214
10,HEMBRA,3.089969615997493,Transversal,15.0,62.816138025556214
10,HEMBRA,3.089969615997493,Transversal,15.0,62.816138025556214
10,HEMBRA,3.089969615997493,Transversal,15.0,62.816138025556214
10,HEMBRA,3.089969615997493,Transversal,13.0,65.8432651240117
10,HEMBRA,3.089969615997493,Transversal,13.0,65.8432651240117
11,HEMBRA,3.1848107074267245,Transversal,14.5,60.7534413041722
11,HEMBRA,3.1848107074267245,Transversal,12.5,66.77888606612748
11,HEMBRA,3.1848107074267245,Transversal,14.5,60.7534413041722
11,HEMBRA,3.1848107074267245,Transversal,14.5,60.7534413041722
11,HEMBRA,3.1848107074267245,Transversal,14.5,60.7534413041722
11,HEMBRA,3.1848107074267245,Transversal,14.5,60.7534413041722
11,HEMBRA,3.1848107074267245,Transversal,14.5,60.7534413041722
11,HEMBRA,3.1848107074267245,Transversal,14.5,60.7534413041722
11,HEMBRA,3.1848107074267245,Transversal,14.5,60.7534413041722
11,HEMBRA,3.1848107074267245,Transversal,14.5,60.7534413041722
11,HEMBRA,3.1848107074267245,Transversal,14.5,60.7534413041722
11,HEMBRA,3.1848107074267245,Transversal,14.5,60.7534413041722
11,HEMBRA,3.1848107074267245,Transversal,14.5,60.7534413041722
1,MACHO,3.37782775893305,Transversal,12.5,73.24705392126745
1,MACHO,3.37782775893305,Transversal,12.5,73.24705392126745
1,MACHO,3.37782775893305,Transversal,12.5,73.24705392126745
1,MACHO,3.37782775893305,Transversal,12.5,73.24705392126745
1,MACHO,3.37782775893305,Transversal,12.5,73.24705392126745
1,MACHO,3.37782775893305,Transversal,12.5,73.24705392126745
1,MACHO,3.37782775893305,Transversal,12.5,73.24705392126745
1,MACHO,3.37782775893305,Transversal,12.5,73.24705392126745
1,MACHO,3.37782775893305,Transversal,12.5,73.24705392126745
1,MACHO,3.37782775893305,Transversal,12.5,73.24705392126745
1,MACHO,3.37782775893305,Transversal,12.5,73.24705392126745
1,MACHO,3.37782775893305,Transversal,12.5,73.24705392126745
1,MACHO,3.37782775893305,Transversal,12.5,73.24705392126745
1,MACHO,3.37782775893305,Transversal,12.5,73.24705392126745
3,MACHO,3.7609653419109104,Transversal,12.5,74.30708692732313
3,MACHO,3.7609653419109104,Transversal,12.5,74.30708692732313
3,MACHO,3.7609653419109104,Transversal,12.5,74.30708692732313
3,MACHO,3.7609653419109104,Transversal,12.5,74.30708692732313
3,MACHO,3.7609653419109104,Transversal,12.5,74.30708692732313
3,MACHO,3.7609653419109104,Transversal,12.5,74.30708692732313
3,MACHO,3.7609653419109104,Transversal,12.5,74.30708692732313
3,MACHO,3.7609653419109104,Transversal,12.5,74.30708692732313
3,MACHO,3.7609653419109104,Transversal,12.5,74.30708692732313
3,MACHO,3.7609653419109104,Transversal,12.5,74.30708692732313
3,MACHO,3.7609653419109104,Transversal,12.5,74.30708692732313
3,MACHO,3.7609653419109104,Transversal,12.5,74.30708692732313
3,MACHO,3.7609653419109104,Transversal,12.5,74.30708692732313
3,MACHO,3.7609653419109104,Transversal,12.5,74.30708692732313
3,MACHO,3.7609653419109104,Transversal,12.5,74.30708692732313
5,MACHO,3.53832882971897,Transversal,13.0,71.13399588634549
5,MACHO,3.53832882971897,Transversal,13.0,71.13399588634549
5,MACHO,3.53832882971897,Transversal,13.0,71.13399588634549
5,MACHO,3.53832882971897,Transversal,13.0,71.13399588634549
5,MACHO,3.53832882971897,Transversal,13.0,71.13399588634549
5,MACHO,3.53832882971897,Transversal,13.0,71.13399588634549
5,MACHO,3.53832882971897,Transversal,13.0,71.13399588634549
5,MACHO,3.53832882971897,Transversal,13.0,71.13399588634549
5,MACHO,3.53832882971897,Transversal,13.0,71.13399588634549
5,MACHO,3.53832882971897,Transversal,13.0,71.13399588634549
5,MACHO,3.53832882971897,Transversal,13.0,71.13399588634549
5,MACHO,3.53832882971897,Transversal,13.0,71.13399588634549
5,MACHO,3.53832882971897,Transversal,13.0,71.13399588634549
7,MACHO,3.733087932228955,Transversal,13.0,72.26111937204998
7,MACHO,3.733087932228955,Transversal,13.0,72.26111937204998
7,MACHO,3.733087932228955,Transversal,13.0,72.26111937204998
7,MACHO,3.733087932228955,Transversal,13.0,72.26111937204998
7,MACHO,3.733087932228955,Transversal,13.0,72.26111937204998
7,MACHO,3.733087932228955,Transversal,13.0,72.26111937204998
7,MACHO,3.733087932228955,Transversal,13.0,72.26111937204998
7,MACHO,3.733087932228955,Transversal,13.0,72.26111937204998
7,MACHO,3.733087932228955,Transversal,13.0,72.26111937204998
7,MACHO,3.733087932228955,Transversal,13.0,72.26111937204998
7,MACHO,3.733087932228955,Transversal,13.0,72.26111937204998
8,HEMBRA,2.9717044655371065,Tradicional,15.0,60.2276457459586
8,HEMBRA,2.9717044655371065,Tradicional,15.0,60.2276457459586
8,HEMBRA,2.9717044655371065,Tradicional,15.0,60.2276457459586
8,HEMBRA,2.9717044655371065,Tradicional,15.0,60.2276457459586
8,HEMBRA,2.9717044655371065,Tradicional,13.0,65.73778453826904
8,HEMBRA,2.9717044655371065,Tradicional,13.0,65.73778453826904
