nombre_sector_code,nro_crianza,nro_pabellon,mes_carga,edad_madres_dias,peso_inicial_gramos,sexo,edad_promedio_faena_dias,edad_proyeccion_dias,kilos_recibidos_percapita,ganancia_promedio_gramos,tipoConstruccion,densidad_pollos_m2
alhue,162,1,10,253.23576923076925,43.63521153846154,HEMBRA,44.0,32,3.089969615997493,62.61627906976744,Transversal,13.0
alhue,162,3,10,366.0452564102564,48.203782051282055,HEMBRA,43.0,32,3.089969615997493,61.50326797385621,Transversal,13.0
alhue,162,5,10,217.0,44.2164625,HEMBRA,43.0,32,3.089969615997493,62.17113632894,Transversal,13.0
alhue,162,7,10,187.8527777777778,37.83611111111111,HEMBRA,43.0,32,3.089969615997493,54.43957103265453,Transversal,15.0
alhue,162,9,10,258.3777777777778,45.95555555555556,HEMBRA,43.0,32,3.089969615997493,58.03643256738637,Transversal,15.0
alhue,162,10,10,396.80277777777775,49.27777777777778,HEMBRA,42.61203844208397,32,3.089969615997493,58.521378377095104,Transversal,15.0
alhue,162,11,10,372.69166666666666,48.49722222222222,HEMBRA,43.0,32,3.089969615997493,58.86025768087214,Transversal,15.0
alhue,162,12,10,304.9966111111111,47.086215277777775,HEMBRA,42.0,32,3.089969615997493,59.56937684893597,Transversal,15.0
alhue,162,14,10,343.63157051282053,45.325689102564105,HEMBRA,43.0,32,3.089969615997493,61.45180947643328,Transversal,13.0
alhue,162,15,10,290.0589102564103,41.65429487179488,HEMBRA,43.0,32,3.089969615997493,63.643749365288926,Transversal,13.0
alhue,163,1,11,248.9626436781609,45.11350574712644,HEMBRA,45.0,32,3.1848107074267245,59.41070806444912,Transversal,14.5
alhue,163,3,11,297.6264666666667,46.77435733333333,HEMBRA,45.0,32,3.1848107074267245,61.61649598289714,Transversal,12.5
alhue,163,4,11,317.4741379310345,49.72557471264368,HEMBRA,45.0,32,3.1848107074267245,59.99769370762268,Transversal,14.5
alhue,163,5,11,292.0890804597701,43.866379310344826,HEMBRA,44.0,32,3.1848107074267245,59.51099187862954,Transversal,14.5
alhue,163,6,11,259.08045977011494,42.39798850574713,HEMBRA,45.0,32,3.1848107074267245,58.48487901923548,Transversal,14.5
alhue,163,7,11,195.7183908045977,39.241379310344826,HEMBRA,45.0,32,3.1848107074267245,58.39793494152046,Transversal,14.5
alhue,163,9,11,292.0086206896552,44.28591954022989,HEMBRA,45.0,32,3.1848107074267245,60.12114750538017,Transversal,14.5
alhue,163,10,11,329.30172413793105,45.9683908045977,HEMBRA,45.0,32,3.1848107074267245,60.53568169618895,Transversal,14.5
alhue,163,11,11,311.96887931034485,44.83374137931035,HEMBRA,45.0,32,3.1848107074267245,59.05892112824248,Transversal,14.5
alhue,163,12,11,320.9942528735632,47.9683908045977,HEMBRA,45.86953498216121,32,3.1848107074267245,58.84870300951362,Transversal,14.5
alhue,163,13,11,437.8419540229885,50.88218390804597,HEMBRA,46.0,32,3.1848107074267245,59.91963454594652,Transversal,14.5
alhue,163,14,11,393.0862068965517,49.83448275862069,HEMBRA,46.0,32,3.1848107074267245,58.2739168064817,Transversal,14.5
alhue,163,15,11,347.9080459770115,48.58916666666666,HEMBRA,46.0,32,3.1848107074267245,58.789074235219765,Transversal,14.5
alhue,164,1,1,294.1166666666667,44.626666666666665,MACHO,45.0,32,3.37782775893305,72.7017543859649,Transversal,12.5
alhue,164,2,1,219.8,41.95,MACHO,42.0,32,3.37782775893305,71.9814567113672,Transversal,12.5
alhue,164,3,1,254.75333333333333,43.711666666666666,MACHO,42.0,32,3.37782775893305,71.93293934211022,Transversal,12.5
alhue,164,4,1,267.49333333333334,43.8,MACHO,44.0,32,3.37782775893305,73.06594046978661,Transversal,12.5
alhue,164,5,1,313.53,47.64333333333333,MACHO,42.0,32,3.37782775893305,71.83893017708047,Transversal,12.5
alhue,164,6,1,350.88666666666666,47.80833333333333,MACHO,42.0,32,3.37782775893305,73.39780291393195,Transversal,12.5
alhue,164,8,1,219.63666666666663,41.93,MACHO,42.0,32,3.37782775893305,71.97888159095056,Transversal,12.5
alhue,164,9,1,254.54333333333332,43.71666666666667,MACHO,43.0,32,3.37782775893305,71.66857424535193,Transversal,12.5
alhue,164,10,1,267.54,43.79,MACHO,42.0,32,3.37782775893305,73.3980278980279,Transversal,12.5
alhue,164,11,1,313.46000000000004,47.64,MACHO,43.0,32,3.37782775893305,74.40847777895932,Transversal,12.5
alhue,164,12,1,367.01,48.26166666666666,MACHO,43.0,32,3.37782775893305,71.49901933314655,Transversal,12.5
alhue,164,13,1,397.3855666666667,48.866573333333335,MACHO,42.95475537345047,32,3.37782775893305,73.03222009710166,Transversal,12.5
alhue,164,14,1,455.0466666666666,51.446666666666665,MACHO,45.0,32,3.37782775893305,74.7037037037037,Transversal,12.5
alhue,164,15,1,386.61,47.00666666666667,MACHO,45.0,32,3.37782775893305,73.27794528196537,Transversal,12.5
alhue,165,1,3,207.55,38.875,MACHO,43.0,32,3.7609653419109104,70.73144007155635,Transversal,12.5
alhue,165,2,3,248.5,43.0,MACHO,43.0,32,3.7609653419109104,72.30406043437205,Transversal,12.5
alhue,165,3,3,276.66333333333336,44.48333333333333,MACHO,43.0,32,3.7609653419109104,73.97491407400794,Transversal,12.5
alhue,165,4,3,281.91333333333336,43.965,MACHO,43.0,32,3.7609653419109104,69.49999999999999,Transversal,12.5
alhue,165,5,3,261.38,40.63733333333333,MACHO,43.0,32,3.7609653419109104,71.13492027230777,Transversal,12.5
alhue,165,6,3,297.08,41.18666666666667,MACHO,43.0,32,3.7609653419109104,69.39589927067566,Transversal,12.5
alhue,165,7,3,310.8933333333333,45.85,MACHO,43.0,32,3.7609653419109104,71.89449251847847,Transversal,12.5
alhue,165,8,3,296.17,45.96333333333333,MACHO,43.0,32,3.7609653419109104,72.10430153610177,Transversal,12.5
alhue,165,9,3,392.9333333333333,49.623333333333335,MACHO,43.0,32,3.7609653419109104,73.00319563341188,Transversal,12.5
alhue,165,10,3,209.60333333333327,39.09333333333333,MACHO,43.0,32,3.7609653419109104,71.90941285272821,Transversal,12.5
alhue,165,11,3,289.0055,43.34047833333334,MACHO,42.0,32,3.7609653419109104,70.74283872156214,Transversal,12.5
alhue,165,12,3,251.44,42.28666666666667,MACHO,43.0,32,3.7609653419109104,70.4619766320558,Transversal,12.5
alhue,165,13,3,398.7433333333333,49.07833333333333,MACHO,42.04803921568627,32,3.7609653419109104,73.40483573876752,Transversal,12.5
alhue,165,14,3,410.0133333333333,47.08,MACHO,43.0,32,3.7609653419109104,68.79889512608037,Transversal,12.5
alhue,165,15,3,322.5133333333333,45.723333333333336,MACHO,44.0,32,3.7609653419109104,71.81883615424881,Transversal,12.5
alhue,166,1,5,191.7596153846154,37.62820512820513,MACHO,43.0,32,3.53832882971897,62.72635439313087,Transversal,13.0
alhue,166,2,5,206.6346153846154,39.11538461538461,MACHO,43.0,32,3.53832882971897,61.6995813515113,Transversal,13.0
alhue,166,3,5,213.5897435897436,40.01282051282051,MACHO,43.0,32,3.53832882971897,61.50482462424105,Transversal,13.0
alhue,166,4,5,271.38461538461536,46.17948717948718,MACHO,43.0,32,3.53832882971897,63.238729020590746,Transversal,13.0
alhue,166,6,5,256.95833333333337,42.12019230769231,MACHO,43.0,32,3.53832882971897,63.09642110404441,Transversal,13.0
alhue,166,7,5,330.41346153846155,46.63301282051282,MACHO,43.0,32,3.53832882971897,65.71544537077665,Transversal,13.0
alhue,166,8,5,402.1410256410256,48.88461538461539,MACHO,43.0,32,3.53832882971897,69.97520003743391,Transversal,13.0
