Estrategia,N_Modelos,MAE,RMSE,R²,CV_MAE
4. MODELOS POR K-MEANS (k=7),7,2.041560352997515,2.618151047247812,0.25568477423053765,2.225814817540968
5. MODELOS POR HIERARCHICAL (k=7),7,2.0415603529975153,2.6181510472478124,0.2556847742305376,2.225814817540968
1. MODELO ÚNICO (Baseline),1,2.0423825687555754,2.6292604094832903,0.8273265458344052,2.3194786023968286
3. MODELOS POR TIPO CONSTRUCCIÓN,3,2.042845138868889,2.6247094496900862,0.7675008771080367,2.3191115511657863
2. MODELOS POR SEXO,2,2.042884345291844,2.626895016353072,0.3957523978926194,2.3330557275901556
