nombre_sector_code,nro_crianza,nro_pabellon,sexo,tipoConstruccion,densidad_pollos_m2,cluster_kmeans,cluster_hierarchical,cluster_dbscan,ganancia_promedio_gramos
bosque nuevo,226,23,HEMBRA,Tradicional,15.0,1,0,0,59.76089683033541
bosque nuevo,226,24,HEMBRA,Tradicional,15.0,1,0,0,59.37434713288251
bosque nuevo,226,26,HEMBRA,Tradicional,15.0,1,0,0,58.28583906540016
bosque nuevo,226,27,HEMBRA,Tradicional,15.0,1,0,0,60.58392927529703
bosque nuevo,226,29,HEMBRA,Tradicional,15.0,1,0,0,62.82414781777637
bosque nuevo,226,30,HEMBRA,Tradicional,15.0,1,0,0,64.65906525174984
bosque nuevo,227,16,HEMBRA,Tradicional,15.0,1,0,0,61.65366691194506
bosque nuevo,227,17,HEMBRA,Tradicional,15.0,1,0,0,58.09719464037069
bosque nuevo,227,18,HEMBRA,Tradicional,15.0,1,0,0,58.96070778037991
bosque nuevo,227,19,HEMBRA,Tradicional,15.0,1,0,0,59.42448001237146
bosque nuevo,227,20,HEMBRA,Tradicional,13.0,1,0,0,67.67512394284047
bosque nuevo,227,21,HEMBRA,Tradicional,15.0,1,0,0,61.3432291183474
bosque nuevo,227,22,HEMBRA,Tradicional,15.0,1,0,0,58.887862458301264
bosque nuevo,227,23,HEMBRA,Tradicional,15.0,1,0,0,61.37695663330768
bosque nuevo,227,24,HEMBRA,Tradicional,15.0,1,0,0,60.44596999745741
bosque nuevo,227,25,HEMBRA,Tradicional,15.0,1,0,0,64.20095453403668
bosque nuevo,227,26,HEMBRA,Tradicional,15.0,1,0,0,61.9293695131684
bosque nuevo,227,27,HEMBRA,Tradicional,15.0,1,0,0,61.41156126482213
bosque nuevo,227,29,HEMBRA,Tradicional,13.0,1,0,0,67.23525069558798
bosque nuevo,227,30,HEMBRA,Tradicional,13.0,1,0,0,66.96797524327317
bosque nuevo,228,16,HEMBRA,Tradicional,14.5,1,0,0,58.26138964010817
bosque nuevo,228,17,HEMBRA,Tradicional,14.5,1,0,0,56.14653010033445
bosque nuevo,228,18,HEMBRA,Tradicional,14.5,1,0,0,56.07567678424938
bosque nuevo,228,19,HEMBRA,Tradicional,14.5,1,0,0,53.65972222222224
bosque nuevo,228,20,HEMBRA,Tradicional,14.5,1,0,0,57.3743045538842
bosque nuevo,228,21,HEMBRA,Tradicional,14.5,1,0,0,57.2719017094017
bosque nuevo,228,22,HEMBRA,Tradicional,14.5,1,0,0,57.45283018867924
bosque nuevo,228,23,HEMBRA,Tradicional,14.5,1,0,0,57.528973950026575
bosque nuevo,228,24,HEMBRA,Tradicional,14.5,1,0,0,54.52433862433863
bosque nuevo,228,25,HEMBRA,Tradicional,14.5,1,0,0,56.13695710098588
bosque nuevo,228,26,HEMBRA,Tradicional,14.5,1,0,0,54.729035639413
bosque nuevo,228,29,HEMBRA,Tradicional,14.5,1,0,0,57.68774613095944
bosque nuevo,229,17,HEMBRA,Tradicional,14.5,1,0,0,55.61848958333333
bosque nuevo,229,18,HEMBRA,Tradicional,14.5,1,0,0,53.80667578036
bosque nuevo,229,19,HEMBRA,Tradicional,14.5,1,0,0,56.13145099876984
bosque nuevo,229,20,HEMBRA,Tradicional,14.5,1,0,0,54.53981502368599
bosque nuevo,229,21,HEMBRA,Tradicional,14.5,1,0,0,56.44093209220966
bosque nuevo,229,23,HEMBRA,Tradicional,14.5,1,0,0,57.3885949441505
bosque nuevo,229,24,HEMBRA,Tradicional,14.5,1,0,0,55.95901145268234
bosque nuevo,229,25,HEMBRA,Tradicional,14.5,1,0,0,61.36020151133501
bosque nuevo,229,26,HEMBRA,Tradicional,14.5,1,0,0,60.22609176340519
bosque nuevo,229,27,HEMBRA,Tradicional,14.5,1,0,0,62.01626016260162
bosque nuevo,229,29,HEMBRA,Tradicional,14.5,1,0,0,59.05978705978707
bosque nuevo,229,30,HEMBRA,Tradicional,14.5,1,1,0,60.96000000000001
bosque nuevo,230,16,HEMBRA,Tradicional,15.0,1,0,0,62.9114375780646
bosque nuevo,230,17,HEMBRA,Tradicional,15.0,1,0,0,57.987543568938925
bosque nuevo,230,18,HEMBRA,Tradicional,15.0,1,0,0,61.01191151446398
bosque nuevo,230,19,HEMBRA,Tradicional,15.0,1,0,0,61.50579150579151
bosque nuevo,230,20,HEMBRA,Tradicional,15.0,1,0,0,60.80509685160848
bosque nuevo,230,21,HEMBRA,Tradicional,15.0,1,0,0,61.627906976744185
bosque nuevo,230,22,HEMBRA,Tradicional,15.0,1,0,0,57.94606294606295
bosque nuevo,230,24,HEMBRA,Tradicional,15.0,1,1,0,60.91199270405836
bosque nuevo,230,25,HEMBRA,Tradicional,15.0,1,0,0,57.747093023255815
