Estrategia,N_Modelos,MAE,RMSE,R²,CV_MAE
3. MODELOS POR DENSIDAD,71,1.4662692981938281,1.8643377453556376,0.437276253611904,2.0457878366184037
1. MODELO ÚNICO (Baseline),1,1.505063746322988,1.9554182390679795,0.9061094827408718,2.271135742945261
4. MODELOS POR TIPO CONSTRUCCIÓN,3,1.5214495892156643,1.9342719490022766,0.8757867729135294,2.3318650123599842
5. MODELOS POR SECTOR,70,1.5367972616263845,1.930140681542315,0.4934498671669539,2.5162934250105726
6. MODELOS POR K-MEANS (k=2),2,1.5387506261573833,2.004404707249264,0.6380637222840453,2.32474778308441
2. MODELOS POR SEXO,2,1.5387506261573836,2.004404707249264,0.6380637222840453,2.32474778308441
7. MODELOS POR HIERARCHICAL (k=2),2,1.5661638937204205,2.0216412902083274,0.6722086425417784,2.3549691913097446
