nombre_sector,nombre_sector_code,nro_crianza,Pabellón,Cantidad Total,Fecha Guía Inicio,Fecha Guía Fin,Peso Promedio,Sexo,mes_carga,anio_carga,edad_actual,edad_proyeccion_dias,edad_criterio_proyeccion,Edad,kilos_recibidos_percapita,tipoConstruccion,densidad_pollos_m2,nombre,zonaGeografica
EL GALEÓN,el galeon,121,14,36000,2025-10-10,2025-10-10,49.19444444444444,MACHO,10,2025,41,30,40.6,30,3.296140165732344,Black Out,15.0,el galeon,COSTA
EL GALEÓN,el galeon,121,15,36000,2025-10-10,2025-10-10,44.59444444444444,MACHO,10,2025,41,30,40.6,30,3.296140165732344,Black Out,15.0,el galeon,COSTA
EL VALLE,el valle,231,1,12500,2025-10-14,2025-10-14,49.5041784,HEMBRA,10,2025,37,30,35.82608695652174,30,1.3362063791220005,Tradicional,12.5,el valle,RANCAGUA
EL VALLE,el valle,231,2,12500,2025-10-14,2025-10-14,45.307188,HEMBRA,10,2025,37,30,35.82608695652174,30,1.3362063791220005,Tradicional,12.5,el valle,RANCAGUA
EL VALLE,el valle,231,3,14500,2025-10-14,2025-10-14,48.50689655172414,HEMBRA,10,2025,37,30,35.82608695652174,30,1.3362063791220005,Tradicional,14.5,el valle,RANCAGUA
EL VALLE,el valle,231,4,14500,2025-10-14,2025-10-14,49.01034482758621,HEMBRA,10,2025,37,30,35.82608695652174,30,1.3362063791220005,Tradicional,14.5,el valle,RANCAGUA
EL VALLE,el valle,231,5,14500,2025-10-14,2025-10-14,49.39655172413793,HEMBRA,10,2025,37,30,35.82608695652174,30,1.3362063791220005,Tradicional,14.5,el valle,RANCAGUA
EL VALLE,el valle,231,6,14500,2025-10-14,2025-10-14,50.01724137931034,HEMBRA,10,2025,37,30,35.82608695652174,30,1.3362063791220005,Tradicional,14.5,el valle,RANCAGUA
EL VALLE,el valle,231,7,14500,2025-10-14,2025-10-16,46.53919724137931,HEMBRA,10,2025,35,30,35.82608695652174,30,1.3362063791220005,Tradicional,14.5,el valle,RANCAGUA
EL VALLE,el valle,231,8,14500,2025-10-14,2025-10-14,49.60689655172414,HEMBRA,10,2025,37,30,35.82608695652174,30,1.3362063791220005,Tradicional,14.5,el valle,RANCAGUA
EL VALLE,el valle,231,10,14500,2025-10-14,2025-10-14,50.42758620689655,HEMBRA,10,2025,37,30,35.82608695652174,30,1.3362063791220005,Tradicional,14.5,el valle,RANCAGUA
EL VALLE,el valle,231,11,14500,2025-10-14,2025-10-15,49.73793103448276,HEMBRA,10,2025,36,30,35.82608695652174,30,1.3362063791220005,Tradicional,14.5,el valle,RANCAGUA
EL VALLE,el valle,231,12,14500,2025-10-15,2025-10-15,42.76206896551725,HEMBRA,10,2025,36,30,35.82608695652174,30,1.3362063791220005,Tradicional,14.5,el valle,RANCAGUA
EL VALLE,el valle,231,13,14500,2025-10-15,2025-10-15,43.796551724137935,HEMBRA,10,2025,36,30,35.82608695652174,30,1.3362063791220005,Tradicional,14.5,el valle,RANCAGUA
EL VALLE,el valle,231,14,14500,2025-10-15,2025-10-15,44.43103448275862,HEMBRA,10,2025,36,30,35.82608695652174,30,1.3362063791220005,Tradicional,14.5,el valle,RANCAGUA
EL VALLE,el valle,231,15,14500,2025-10-15,2025-10-15,45.293103448275865,HEMBRA,10,2025,36,30,35.82608695652174,30,1.3362063791220005,Tradicional,14.5,el valle,RANCAGUA
EL VALLE,el valle,231,16,14500,2025-10-15,2025-10-15,46.17586206896552,HEMBRA,10,2025,36,30,35.82608695652174,30,1.3362063791220005,Tradicional,14.5,el valle,RANCAGUA
EL VALLE,el valle,231,17,14500,2025-10-15,2025-10-15,48.210344827586205,HEMBRA,10,2025,36,30,35.82608695652174,30,1.3362063791220005,Tradicional,14.5,el valle,RANCAGUA
EL VALLE,el valle,231,18,14500,2025-10-15,2025-10-15,48.5,HEMBRA,10,2025,36,30,35.82608695652174,30,1.3362063791220005,Tradicional,14.5,el valle,RANCAGUA
EL VALLE,el valle,231,19,14500,2025-10-15,2025-10-15,40.0,HEMBRA,10,2025,36,30,35.82608695652174,30,1.3362063791220005,Tradicional,14.5,el valle,RANCAGUA
EL VALLE,el valle,231,20,14500,2025-10-15,2025-10-15,41.97241379310345,HEMBRA,10,2025,36,30,35.82608695652174,30,1.3362063791220005,Tradicional,14.5,el valle,RANCAGUA
EL VALLE,el valle,231,21,14500,2025-10-15,2025-10-15,44.4551724137931,HEMBRA,10,2025,36,30,35.82608695652174,30,1.3362063791220005,Tradicional,14.5,el valle,RANCAGUA
EL VALLE,el valle,231,22,14500,2025-10-15,2025-10-15,48.72413793103448,HEMBRA,10,2025,36,30,35.82608695652174,30,1.3362063791220005,Tradicional,14.5,el valle,RANCAGUA
