nombre_sector,nombre_sector_code,nro_crianza,Pabellón,Cantidad Total,Fecha Guía Inicio,Fecha Guía Fin,Peso Promedio,sexo,mes_carga,anio_carga,edad_actual,edad_proyeccion_dias,edad_criterio_proyeccion,Edad,kilos_recibidos_percapita,tipoConstruccion,densidad_pollos_m2,nombre,zonaGeografica,ganancia_proyectada
DOÑA EMA,dona ema,160,2,30000,2025-10-15,2025-10-16,44.60666666666667,MACHO,10,2025,35,30,35.13333333333333,30,3.139995975155734,Tradicional,12.5,dona ema,COSTA,73.21119148052907
DOÑA EMA,dona ema,160,3,30000,2025-10-16,2025-10-16,44.41,MACHO,10,2025,35,30,35.13333333333333,30,3.139995975155734,Tradicional,12.5,dona ema,COSTA,73.21119148052907
DOÑA EMA,dona ema,160,4,30000,2025-10-16,2025-10-16,44.505,MACHO,10,2025,35,30,35.13333333333333,30,3.139995975155734,Tradicional,12.5,dona ema,COSTA,73.21119148052907
DOÑA EMA,dona ema,160,5,30000,2025-10-16,2025-10-16,48.93333333333333,MACHO,10,2025,35,30,35.13333333333333,30,3.139995975155734,Tradicional,12.5,dona ema,COSTA,73.21119148052907
DOÑA EMA,dona ema,160,6,30000,2025-10-16,2025-10-16,49.70333333333333,MACHO,10,2025,35,30,35.13333333333333,30,3.139995975155734,Tradicional,12.5,dona ema,COSTA,73.21119148052907
DOÑA EMA,dona ema,160,7,30000,2025-10-16,2025-10-16,36.92,MACHO,10,2025,35,30,35.13333333333333,30,3.139995975155734,Tradicional,12.5,dona ema,COSTA,73.21119148052907
DOÑA EMA,dona ema,160,8,30000,2025-10-16,2025-10-16,37.99333333333333,MACHO,10,2025,35,30,35.13333333333333,30,3.139995975155734,Tradicional,12.5,dona ema,COSTA,73.21119148052907
DOÑA EMA,dona ema,160,9,30000,2025-10-16,2025-10-16,44.04666666666667,MACHO,10,2025,35,30,35.13333333333333,30,3.139995975155734,Tradicional,12.5,dona ema,COSTA,73.21119148052907
DOÑA EMA,dona ema,160,10,30000,2025-10-15,2025-10-15,50.29,MACHO,10,2025,36,30,35.13333333333333,30,3.139995975155734,Tradicional,12.5,dona ema,COSTA,73.21119148052907
DOÑA EMA,dona ema,160,11,30000,2025-10-15,2025-10-16,47.19294166666667,MACHO,10,2025,35,30,35.13333333333333,30,3.139995975155734,Tradicional,12.5,dona ema,COSTA,73.21119148052907
DOÑA EMA,dona ema,160,12,30000,2025-10-15,2025-10-16,50.97166666666666,MACHO,10,2025,35,30,35.13333333333333,30,3.139995975155734,Tradicional,12.5,dona ema,COSTA,73.21119148052907
