nombre_sector,nombre_sector_code,nro_crianza,Pabellón,Cantidad Total,Fecha Guía Inicio,Fecha Guía Fin,Peso Promedio,Sexo,mes_carga,anio_carga,edad_actual,edad_proyeccion_dias,edad_criterio_proyeccion,Edad,kilos_recibidos_percapita
DEMETRIO,demetrio,138,5,36000,2025-10-09,2025-10-09,43.96666666666667,MACHO,10,2025,42,30,41.86666666666667,30,3.1429609584915044
DEMETRIO,demetrio,138,6,36000,2025-10-09,2025-10-10,50.108333333333334,MACHO,10,2025,41,30,41.86666666666667,30,3.1429609584915044
DEMETRIO,demetrio,138,7,36000,2025-10-09,2025-10-10,50.09027777777778,MACHO,10,2025,41,30,41.86666666666667,30,3.1429609584915044
DEMETRIO,demetrio,138,8,36000,2025-10-09,2025-10-09,43.96666666666667,MACHO,10,2025,42,30,41.86666666666667,30,3.1429609584915044
DEMETRIO,demetrio,138,9,36000,2025-10-09,2025-10-09,43.47222222222222,MACHO,10,2025,42,30,41.86666666666667,30,3.1429609584915044
DEMETRIO,demetrio,138,10,36000,2025-10-09,2025-10-09,42.69305555555555,MACHO,10,2025,42,30,41.86666666666667,30,3.1429609584915044
DEMETRIO,demetrio,138,11,36000,2025-10-08,2025-10-09,49.28333333333333,MACHO,10,2025,42,30,41.86666666666667,30,3.1429609584915044
DEMETRIO,demetrio,138,12,36000,2025-10-08,2025-10-09,41.4125,MACHO,10,2025,42,30,41.86666666666667,30,3.1429609584915044
DEMETRIO,demetrio,138,13,36000,2025-10-08,2025-10-09,44.3375,MACHO,10,2025,42,30,41.86666666666667,30,3.1429609584915044
DEMETRIO,demetrio,138,14,36000,2025-10-08,2025-10-08,48.93888888888889,MACHO,10,2025,43,30,41.86666666666667,30,3.1429609584915044
DEMETRIO,demetrio,138,15,36000,2025-10-08,2025-10-10,46.82414,MACHO,10,2025,41,30,41.86666666666667,30,3.1429609584915044
DON CHARLES,don charles,223,1,38400,2025-10-07,2025-10-07,48.96029609375,HEMBRA,10,2025,44,30,42.42857142857143,30,2.931157696850797
DON CHARLES,don charles,223,2,43200,2025-10-07,2025-10-07,48.204861111111114,HEMBRA,10,2025,44,30,42.42857142857143,30,2.931157696850797
DON CHARLES,don charles,223,3,43200,2025-10-07,2025-10-08,49.97222222222222,HEMBRA,10,2025,43,30,42.42857142857143,30,2.931157696850797
DON CHARLES,don charles,223,4,43200,2025-10-08,2025-10-08,42.280092592592595,HEMBRA,10,2025,43,30,42.42857142857143,30,2.931157696850797
DON CHARLES,don charles,223,5,43200,2025-10-08,2025-10-08,42.605555555555554,HEMBRA,10,2025,43,30,42.42857142857143,30,2.931157696850797
DON CHARLES,don charles,223,6,43200,2025-10-08,2025-10-08,42.89351851851852,HEMBRA,10,2025,43,30,42.42857142857143,30,2.931157696850797
DON CHARLES,don charles,223,7,43200,2025-10-07,2025-10-09,44.59495208333333,HEMBRA,10,2025,42,30,42.42857142857143,30,2.931157696850797
DON CHARLES,don charles,223,8,43200,2025-10-08,2025-10-08,49.164351851851855,HEMBRA,10,2025,43,30,42.42857142857143,30,2.931157696850797
DON CHARLES,don charles,223,9,43200,2025-10-08,2025-10-09,47.94328703703704,HEMBRA,10,2025,42,30,42.42857142857143,30,2.931157696850797
DON CHARLES,don charles,223,11,43200,2025-10-09,2025-10-09,42.201388888888886,HEMBRA,10,2025,42,30,42.42857142857143,30,2.931157696850797
DON CHARLES,don charles,223,12,43200,2025-10-09,2025-10-09,44.97800925925926,HEMBRA,10,2025,42,30,42.42857142857143,30,2.931157696850797
DON CHARLES,don charles,223,13,43200,2025-10-09,2025-10-09,38.333333333333336,HEMBRA,10,2025,42,30,42.42857142857143,30,2.931157696850797
DON CHARLES,don charles,223,14,43200,2025-10-09,2025-10-09,44.54398148148148,HEMBRA,10,2025,42,30,42.42857142857143,30,2.931157696850797
DON CHARLES,don charles,223,15,43200,2025-10-09,2025-10-09,41.6875,HEMBRA,10,2025,42,30,42.42857142857143,30,2.931157696850797
DON CHARLES,don charles,223,16,43200,2025-10-09,2025-10-09,48.923611111111114,HEMBRA,10,2025,42,30,42.42857142857143,30,2.931157696850797
DON CHARLES,don charles,223,17,38400,2025-10-09,2025-10-09,47.68659010416667,HEMBRA,10,2025,42,30,42.42857142857143,30,2.931157696850797
DON CHARLES,don charles,223,18,43200,2025-10-10,2025-10-10,42.363425925925924,HEMBRA,10,2025,41,30,42.42857142857143,30,2.931157696850797
DON CHARLES,don charles,223,19,43200,2025-10-09,2025-10-10,50.32523148148148,HEMBRA,10,2025,41,30,42.42857142857143,30,2.931157696850797
DON CHARLES,don charles,223,20,43200,2025-10-08,2025-10-09,49.34722222222222,HEMBRA,10,2025,42,30,42.42857142857143,30,2.931157696850797
DON CHARLES,don charles,223,21,43200,2025-10-08,2025-10-08,45.95543981481482,HEMBRA,10,2025,43,30,42.42857142857143,30,2.931157696850797
DON CHARLES,don charles,223,22,43200,2025-10-07,2025-10-08,48.57893518518519,HEMBRA,10,2025,43,30,42.42857142857143,30,2.931157696850797
DON JORGE,don jorge,136,1,19200,2025-10-18,2025-10-18,43.916666666666664,MACHO,10,2025,33,30,33.0,30,3.346400971190004
DON JORGE,don jorge,136,2,19200,2025-10-18,2025-10-18,44.682291666666664,MACHO,10,2025,33,30,33.0,30,3.346400971190004
DON JORGE,don jorge,136,3,19200,2025-10-18,2025-10-18,46.6875,MACHO,10,2025,33,30,33.0,30,3.346400971190004
DON JORGE,don jorge,136,4,19200,2025-10-18,2025-10-18,49.223958333333336,MACHO,10,2025,33,30,33.0,30,3.346400971190004
DON JORGE,don jorge,136,5,19200,2025-10-18,2025-10-18,37.79691666666666,MACHO,10,2025,33,30,33.0,30,3.346400971190004
DON JORGE,don jorge,136,6,19200,2025-10-18,2025-10-18,38.34375,MACHO,10,2025,33,30,33.0,30,3.346400971190004
DON JORGE,don jorge,136,7,19200,2025-10-18,2025-10-18,42.005208333333336,MACHO,10,2025,33,30,33.0,30,3.346400971190004
DON JORGE,don jorge,136,8,19200,2025-10-18,2025-10-18,44.668125,MACHO,10,2025,33,30,33.0,30,3.346400971190004
DON JORGE,don jorge,136,9,19200,2025-10-18,2025-10-18,46.854166666666664,MACHO,10,2025,33,30,33.0,30,3.346400971190004
DOÑA EMA,dona ema,160,1,30000,2025-10-15,2025-10-15,41.126666666666665,MACHO,10,2025,36,30,35.13333333333333,30,3.139995975155734
DOÑA EMA,dona ema,160,2,30000,2025-10-15,2025-10-16,44.60666666666667,MACHO,10,2025,35,30,35.13333333333333,30,3.139995975155734
DOÑA EMA,dona ema,160,3,30000,2025-10-16,2025-10-16,44.41,MACHO,10,2025,35,30,35.13333333333333,30,3.139995975155734
DOÑA EMA,dona ema,160,4,30000,2025-10-16,2025-10-16,44.505,MACHO,10,2025,35,30,35.13333333333333,30,3.139995975155734
DOÑA EMA,dona ema,160,5,30000,2025-10-16,2025-10-16,48.93333333333333,MACHO,10,2025,35,30,35.13333333333333,30,3.139995975155734
DOÑA EMA,dona ema,160,6,30000,2025-10-16,2025-10-16,49.70333333333333,MACHO,10,2025,35,30,35.13333333333333,30,3.139995975155734
DOÑA EMA,dona ema,160,7,30000,2025-10-16,2025-10-16,36.92,MACHO,10,2025,35,30,35.13333333333333,30,3.139995975155734
DOÑA EMA,dona ema,160,8,30000,2025-10-16,2025-10-16,37.99333333333333,MACHO,10,2025,35,30,35.13333333333333,30,3.139995975155734
DOÑA EMA,dona ema,160,9,30000,2025-10-16,2025-10-16,44.04666666666667,MACHO,10,2025,35,30,35.13333333333333,30,3.139995975155734
DOÑA EMA,dona ema,160,10,30000,2025-10-15,2025-10-15,50.29,MACHO,10,2025,36,30,35.13333333333333,30,3.139995975155734
DOÑA EMA,dona ema,160,11,30000,2025-10-15,2025-10-16,47.19294166666667,MACHO,10,2025,35,30,35.13333333333333,30,3.139995975155734
DOÑA EMA,dona ema,160,12,30000,2025-10-15,2025-10-16,50.971666666666664,MACHO,10,2025,35,30,35.13333333333333,30,3.139995975155734
DOÑA EMA,dona ema,160,13,30000,2025-10-16,2025-10-16,41.86,MACHO,10,2025,35,30,35.13333333333333,30,3.139995975155734
DOÑA EMA,dona ema,160,14,30000,2025-10-16,2025-10-16,45.88166666666667,MACHO,10,2025,35,30,35.13333333333333,30,3.139995975155734
DOÑA EMA,dona ema,160,15,30000,2025-10-16,2025-10-16,48.075,MACHO,10,2025,35,30,35.13333333333333,30,3.139995975155734
DUSETT,dusett,170,1,31200,2025-09-30,2025-09-30,38.07692307692308,MACHO,9,2025,51,30,50.142857142857146,30,3.0638072717907896
DUSETT,dusett,170,2,31200,2025-10-01,2025-10-01,42.256410256410255,MACHO,10,2025,50,30,50.142857142857146,30,3.0638072717907896
DUSETT,dusett,170,3,31200,2025-10-01,2025-10-01,44.92948717948718,MACHO,10,2025,50,30,50.142857142857146,30,3.0638072717907896
DUSETT,dusett,170,4,31200,2025-10-01,2025-10-01,46.49038461538461,MACHO,10,2025,50,30,50.142857142857146,30,3.0638072717907896
DUSETT,dusett,170,5,31200,2025-10-01,2025-10-01,37.15384615384615,MACHO,10,2025,50,30,50.142857142857146,30,3.0638072717907896
DUSETT,dusett,170,6,31200,2025-10-01,2025-10-01,40.07692307692308,MACHO,10,2025,50,30,50.142857142857146,30,3.0638072717907896
DUSETT,dusett,170,7,31200,2025-10-01,2025-10-01,44.333333333333336,MACHO,10,2025,50,30,50.142857142857146,30,3.0638072717907896
DUSETT,dusett,170,8,31200,2025-10-01,2025-10-01,45.39102564102564,MACHO,10,2025,50,30,50.142857142857146,30,3.0638072717907896
DUSETT,dusett,170,9,31200,2025-10-01,2025-10-01,49.03685897435897,MACHO,10,2025,50,30,50.142857142857146,30,3.0638072717907896
DUSETT,dusett,170,10,31200,2025-10-01,2025-10-01,49.92788461538461,MACHO,10,2025,50,30,50.142857142857146,30,3.0638072717907896
DUSETT,dusett,170,12,32654,2025-09-30,2025-10-01,45.85919182948491,MACHO,9,2025,50,30,50.142857142857146,30,3.0638072717907896
DUSETT,dusett,170,13,31200,2025-10-01,2025-10-01,49.28525641025641,MACHO,10,2025,50,30,50.142857142857146,30,3.0638072717907896
DUSETT,dusett,170,14,31200,2025-10-01,2025-10-01,48.01214198717949,MACHO,10,2025,50,30,50.142857142857146,30,3.0638072717907896
DUSETT,dusett,170,15,31200,2025-09-30,2025-09-30,49.69230769230769,MACHO,9,2025,51,30,50.142857142857146,30,3.0638072717907896
EL DIPUTADO,el diputado,121,1,31200,2025-10-03,2025-10-03,44.06410256410256,MACHO,10,2025,48,30,47.333333333333336,30,3.1910228524741697
EL DIPUTADO,el diputado,121,2,31200,2025-10-03,2025-10-03,44.83653846153846,MACHO,10,2025,48,30,47.333333333333336,30,3.1910228524741697
EL DIPUTADO,el diputado,121,3,31200,2025-10-03,2025-10-03,47.08974358974359,MACHO,10,2025,48,30,47.333333333333336,30,3.1910228524741697
EL DIPUTADO,el diputado,121,4,31200,2025-10-03,2025-10-03,37.46474358974359,MACHO,10,2025,48,30,47.333333333333336,30,3.1910228524741697
EL DIPUTADO,el diputado,121,5,31200,2025-10-03,2025-10-03,44.967948717948715,MACHO,10,2025,48,30,47.333333333333336,30,3.1910228524741697
EL DIPUTADO,el diputado,121,6,31200,2025-10-03,2025-10-04,49.625,MACHO,10,2025,47,30,47.333333333333336,30,3.1910228524741697
EL DIPUTADO,el diputado,121,7,31200,2025-10-04,2025-10-04,43.32692307692308,MACHO,10,2025,47,30,47.333333333333336,30,3.1910228524741697
EL DIPUTADO,el diputado,121,8,31200,2025-10-04,2025-10-04,46.15064102564103,MACHO,10,2025,47,30,47.333333333333336,30,3.1910228524741697
EL DIPUTADO,el diputado,121,9,31200,2025-10-04,2025-10-04,48.467948717948715,MACHO,10,2025,47,30,47.333333333333336,30,3.1910228524741697
EL DIPUTADO,el diputado,121,10,31200,2025-10-03,2025-10-04,49.592948717948715,MACHO,10,2025,47,30,47.333333333333336,30,3.1910228524741697
EL DIPUTADO,el diputado,121,11,31200,2025-10-03,2025-10-04,47.38241185897436,MACHO,10,2025,47,30,47.333333333333336,30,3.1910228524741697
EL DIPUTADO,el diputado,121,12,31200,2025-10-03,2025-10-04,46.208333333333336,MACHO,10,2025,47,30,47.333333333333336,30,3.1910228524741697
EL DIPUTADO,el diputado,121,13,31200,2025-10-04,2025-10-04,38.256410256410255,MACHO,10,2025,47,30,47.333333333333336,30,3.1910228524741697
EL DIPUTADO,el diputado,121,14,31200,2025-10-04,2025-10-04,41.92628205128205,MACHO,10,2025,47,30,47.333333333333336,30,3.1910228524741697
EL DIPUTADO,el diputado,121,15,31200,2025-10-04,2025-10-04,45.26282051282051,MACHO,10,2025,47,30,47.333333333333336,30,3.1910228524741697
